DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;P7481;AREA;MES;DPTO;fex_c_2011
5279552;1;1;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;296
5279552;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;296
5279553;1;1;1;90;2; ;1;28;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;315
5279553;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;315
5279553;1;3;1;90;2; ;2; ;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;315
5279554;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;364
5279554;1;2;1;90;2; ;1;35;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;364
5279554;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;364
5279554;1;4;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;364
5279554;1;5;1;90;2; ;1;14;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;364
5279555;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;265
5279555;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;265
5279555;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;265
5279555;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;265
5279555;1;5;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;265
5279556;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;367
5279557;1;1;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;406
5279557;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;406
5279557;1;4;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;406
5279557;2;1;2;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;406
5279557;2;2;2;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;406
5279557;2;3;2;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;406
5279557;2;4;2;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;406
5279559;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;321
5279559;1;2;1;90;2; ;1;14;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;321
5279559;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;321
5279560;1;1;1;90;2; ;1;48;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;257
5279560;1;2;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;257
5279560;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;257
5279560;1;4;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;257
5279561;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;293
5279561;1;2;1;90;2; ;1;10;2; ;2; ;2; ;2; ;1;16;2; ;2; ;2; ; ;54;11;54;293
5279562;1;1;1;90;2; ;1;49;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;415
5279562;1;2;1;90;2; ;1;7;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;415
5279562;1;3;1;90;2; ;2; ;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;415
5279562;1;6;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;415
5279563;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;364
5279564;1;1;1;90;2; ;1;21;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;375
5279564;1;2;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;375
5279565;1;1;1;90;2; ;1;7;2; ;1;5;2; ;2; ;2; ;2; ;2; ;1;1; ;54;11;54;375
5279565;1;2;1;90;2; ;1;28;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;375
5279566;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;481
5279566;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;481
5279566;1;3;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;481
5279568;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;380
5279568;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;380
5279568;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;380
5279568;1;4;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;380
5279568;1;5;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;380
5279569;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;338
5279569;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;338
5279570;1;1;1;90;2; ;1;21;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;415
5279570;1;2;1;90;2; ;1;14;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;415
5279570;1;3;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;415
5279570;1;6;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;415
5279571;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;344
5279571;1;2;1;90;2; ;1;28;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;344
5279571;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;344
5279571;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;344
5279571;2;1;2;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;344
5279571;2;2;2;90;2; ;1;14;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;344
5279571;2;5;2;90;2; ;1;10;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;344
5279572;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;328
5279572;1;2;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;328
5279572;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;328
5279572;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;328
5279573;1;1;1;90;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;362
5279573;1;2;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;362
5279573;1;3;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;362
5279573;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;362
5279573;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;362
5279574;1;1;1;90;2; ;1;28;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;382
5279574;1;3;1;90;2; ;1;42;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;382
5279574;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;382
5279575;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;297
5279575;1;2;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;297
5279575;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;297
5279577;1;1;1;90;2; ;2; ;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;386
5279577;1;2;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;386
5279577;1;3;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;386
5279578;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;438
5279578;1;2;1;90;2; ;1;34;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;438
5279578;1;3;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;438
5279578;1;4;1;90;2; ;1;20;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;438
5279578;1;5;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;438
5279579;1;1;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;299
5279579;1;2;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;299
5279579;1;3;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;299
5279581;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;390
5279583;1;1;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;397
5279583;1;2;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;397
5279584;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;344
5279584;1;2;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;344
5279585;1;1;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;328
5279585;1;2;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;328
5279585;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;328
5279585;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;328
5279585;1;5;1;90;2; ;1;7;2; ;1;29;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;328
5279585;1;6;1;90;2; ;1;28;2; ;1;45;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;328
5279586;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;551
5279586;1;2;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;551
5279586;1;3;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;551
5279586;1;4;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;551
5279586;1;5;1;90;2; ;1;7;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;551
5279586;1;6;1;90;2; ;1;30;2; ;1;38;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;551
5279587;1;1;1;90;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;344
5279587;1;2;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;344
5279590;1;1;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;516
5279590;1;2;1;90;2; ;1;10;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;516
5279590;1;3;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;516
5279590;1;4;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;516
5279591;1;1;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;326
5279591;1;2;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;326
5279603;1;1;1;90;2; ;1;4;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;743
5279603;1;2;1;90;2; ;1;10;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;743
5279603;1;6;1;90;2; ;1;38;2; ;1;23;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;743
5279604;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;327
5279604;1;2;1;90;2; ;1;16;2; ;2; ;1;17;2; ;2; ;2; ;2; ;2; ; ;66;11;66;327
5279604;1;3;1;90;2; ;1;2;2; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ; ;66;11;66;327
5279612;1;1;1;90;2; ;1;10;2; ;2; ;1;10;2; ;2; ;2; ;2; ;2; ; ;66;11;66;344
5279612;1;2;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;344
5279614;1;1;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;309
5279614;1;2;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;309
5279614;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;309
5279614;1;4;1;90;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;309
5279615;1;1;1;90;2; ;1;2;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;534
5279615;1;2;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;534
5279615;1;3;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;534
5279615;1;4;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;534
5279615;1;5;1;90;2; ;1;40;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;534
5279616;1;1;1;90;2; ;1;20;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;486
5279616;1;2;1;90;2; ;1;2;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;486
5279617;1;1;1;90;2; ;1;5;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;358
5279617;1;2;1;90;2; ;1;42;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;358
5279617;1;3;1;90;2; ;1;10;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;358
5279619;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;390
5279620;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;322
5279620;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;322
5279621;1;1;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;391
5279621;1;2;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;391
5279624;1;1;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;281
5279624;1;2;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;281
5279624;1;3;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;281
5279624;1;4;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;281
5279624;1;5;1;90;2; ;1;36;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;281
5279625;1;1;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;345
5279625;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;345
5279628;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;369
5279628;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;369
5279628;1;3;1;90;2; ;1;36;2; ;2; ;1;18;2; ;2; ;2; ;2; ;2; ; ;66;11;66;369
5279628;1;5;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;369
5279630;1;1;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;282
5279630;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;282
5279630;1;3;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;282
5279631;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;676
5279631;1;2;1;90;2; ;1;36;2; ;1;45;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;676
5279631;1;3;1;90;2; ;1;24;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;676
5279631;1;4;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;66;11;66;676
5279648;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;640
5279708;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;943
5279708;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;943
5279708;1;3;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;943
5279708;1;4;1;90;2; ;1;3;2; ;2; ;1;4;2; ;2; ;2; ;2; ;2; ; ;05;11;05;943
5279709;1;1;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1139
5279709;1;2;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1139
5279710;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;12; ;23;11;23;163
5279710;1;2;1;90;2; ;1;32;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;163
5279711;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;163
5279711;1;2;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;163
5279711;1;3;1;90;2; ;1;38;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;163
5279711;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;163
5279712;1;1;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;168
5279712;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;168
5279713;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;1;7;2; ;2; ; ;23;11;23;207
5279713;1;2;1;90;2; ;1;16;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;207
5279713;1;3;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;207
5279713;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;207
5279714;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;140
5279714;1;2;1;90;2; ;1;36;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;140
5279714;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;140
5279715;1;1;1;90;2; ;1;2;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;202
5279715;1;2;1;90;2; ;1;16;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;202
5279716;1;1;1;90;2; ;1;16;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;183
5279716;1;2;1;90;2; ;1;10;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;183
5279717;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;265
5279717;1;2;1;90;2; ;1;30;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ; ;23;11;23;265
5279718;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;585
5279718;1;2;1;90;2; ;1;22;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;585
5279718;1;3;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;585
5279719;1;1;1;90;2; ;1;28;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;329
5279719;1;2;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;329
5279719;1;3;1;90;2; ;1;14;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;329
5279720;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;327
5279720;1;2;1;90;2; ;1;25;2; ;2; ;1;14;2; ;2; ;2; ;2; ;2; ; ;54;11;54;327
5279720;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;327
5279720;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;327
5279720;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;327
5279720;1;6;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;327
5279721;1;1;1;90;2; ;1;32;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;264
5279721;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;264
5279721;1;3;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;264
5279722;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;683
5279722;1;2;1;90;2; ;1;16;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;683
5279722;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;683
5279722;1;6;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;683
5279723;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;560
5279723;1;2;1;90;2; ;2; ;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;560
5279723;1;6;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;560
5279731;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1195
5279731;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;1;18;2; ;2; ;2; ; ;05;11;05;1195
5279731;1;4;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1195
5279732;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1646
5279732;1;2;1;90;2; ;1;16;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1646
5279733;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1286
5279733;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1286
5279733;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1286
5279733;1;4;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1286
5279734;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1508
5279734;1;2;1;90;2; ;1;48;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1508
5279735;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1555
5279735;1;2;1;90;2; ;1;35;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1555
5279736;1;1;1;90;2; ;1;28;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1107
