DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;P7481;AREA;MES;DPTO;fex_c_2011
5272814;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;17;11;17;227
5272815;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;17;11;17;152
5272815;1;2;1;90;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;17;11;17;152
5272816;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;17;11;17;135
5272816;1;2;1;90;2; ;1;48;2; ;2; ;2; ;2; ;1;4;2; ;2; ;2; ; ;17;11;17;135
5272817;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;17;11;17;144
5272817;1;2;1;90;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;17;11;17;144
5272817;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;1;2;2; ;2; ;2; ; ;17;11;17;144
5272817;1;4;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;17;11;17;144
5272818;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;17;11;17;175
5272819;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1175
5272819;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1175
5272819;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1175
