idnoremp;Seccion19;Division;periodo;intio;pottcag;gppgpa;ocgtot;CONINTER;OTROSG;PEROCU;PEREMU;PMISION;SULPERM;SULSAL;SULTEMP;SULMISION;SULAPRENDIZ;PRESPERM;PRESTEMP;PRESMISION;PRESTA;REMU;PROBRU;VALAGRE;TOTG;idaio;imesetot;inoio;insertot;potpsfr;pompsfr;pohpsfr;potperm;pomperm;pohperm;pottcde;pomtcde;pohtcde;pottmoe;pomtmoe;pohtmoe;pomtcag;pohtcag;potpau;pompau;pohpau;pomtot;pohtot;pottot;pompsfr1;pohpsfr2;pompsfr3;pohpsfr4;pompsfr5;pohpsfr6;pomperm1;pohperm2;pomperm3;pohperm4;pomperm5;pohperm6;pomtcde1;pohtcde2;pomtcde3;pohtcde4;pomtcde5;pohtcde6;pomtcag1;pohtcag2;pomtcag3;pohtcag4;pomtcag5;pohtcag6;pomtdhc;pohtdhc;pomtmad;pohtmad;pompau1;pohpau2;pomtot1;pohtot2;pomtot3;pohtot4;pomtot5;pohtot6;ththca;thtmas;gppsi;gpper;gpppsp;gpppst;gsppt;gppcpo;gppano;gppavo;gpppta;gppgpn;gpptpot;ocgrps;gmesetot;gsptot;ocgrc;ocgid;occree;ocgoi;ocgpc;ocgog;ocgtg;ocgamc;ocgtgno;gouts;ocgsv;ocgee;ocgar;ocgca;ocgse;ocgsp;ocgco;ocgfa;ocgpp;ocgnr;ocggv;ocgct;ocggr;ocgup;ocgcl;ocgusi;ocgspe;ocgsgn;gppsied1;gppsied2;gppsied3;gppered1;gppered2;gppered3;gpppsp1;gpppsp2;gpppsp3;gpppsted1;gpppsted2;gpppsted3;gppcpoed1;gppcpoed2;gppcpoed3;gppanoed1;gppanoed2;gppanoed3;gppavoed1;gppavoed2;gppavoed3;gppdocen;gppgpaed1;gppmoni;gppgpned1;gppgpned2;gppgpned3;gpptpoted1;gpptpoted2;gpptpoted3;opcomex
18024;I2;56;2019;;0;;;;;0;0;0;;;;;;;;;0;;;0;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
18025;J4;62;2019;59274773;1;90201;33528163;10610175;1980407;219;219;0;5639531;5729732;0;0;90201;1664365;0;0;3097536;8827268;37940977;27330802;10807675;2003;28520922;0;30753851;0;0;0;209;91;118;0;0;0;0;0;0;1;0;10;7;3;99;121;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1415782;4648484;1239630;0;0;1153774;317785;0;8430;1980407;10846063;0;21333796;4491543;0;601712;0;920761;0;0;2478035;0;0;0;71448;565105;1117567;109332;67206;16617;74185;37480;0;274348;1065775;98266;16629;44372;24990;9787;100035;744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
18026;H1;52;2019;12514819;0;24539;77544;22327;2173349;434;434;0;6861343;6885882;0;0;24539;1658202;0;0;3164146;10050028;12514819;12492492;12223377;2013;0;0;12514819;0;0;0;431;431;0;0;0;0;0;0;0;0;0;3;3;0;434;0;434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;125238;6773676;1620631;0;0;1212181;293763;0;0;2173349;12223377;0;0;10200;0;0;0;55095;0;0;0;0;0;0;0;0;0;0;0;1108;0;0;0;0;0;0;0;0;0;11141;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
18028;H1;52;2019;7433016;0;50239;555165;470465;48368;366;366;0;3784044;3834283;0;0;50239;897129;0;0;1642169;5476452;7433016;6962551;5524820;2013;0;0;7433016;0;0;0;360;101;259;0;0;0;0;0;0;0;0;6;3;0;106;260;366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3784044;897129;0;0;585169;159871;0;0;48368;5524820;87475;0;15849;0;79496;0;1496;0;0;13991;0;0;0;1583;12490;99072;1965;5579;1545;9611;10763;0;116401;20796;0;1373;24809;4411;46073;387;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
18030;H1;52;2019;3893068;45;6120;3194382;2888686;21049;28;28;0;469820;475940;0;0;6120;69456;0;0;122979;598919;3893068;1004382;619968;2006;0;0;3893068;0;0;0;27;12;15;0;0;0;0;0;0;14;31;1;0;1;26;47;73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;469820;69456;0;0;41921;11602;0;916496;21049;619968;1159398;0;68667;0;30050;0;548;267771;0;0;0;0;18795;22877;335404;0;0;22805;6838;35324;3970;0;67169;27581;0;0;12301;151328;23116;23944;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
18031;H1;52;2019;9724987;0;84374;1920757;1710362;301137;118;118;0;1139641;3955977;2731962;0;84374;278360;640536;0;2073870;6029847;9724987;8014625;6330984;2014;0;0;9724987;0;0;0;24;9;15;86;4;82;0;0;0;0;0;8;1;7;14;104;118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1139641;278360;0;0;795581;172480;186913;0;301137;6330984;0;0;80080;0;109881;0;85185;0;0;61427;0;0;112724;139472;0;0;0;20045;14851;64007;6959;0;72773;0;0;36039;36419;765121;158992;156782;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
18032;H1;52;2019;20810631;0;67049;14269024;13977848;350497;157;157;0;3017082;3084131;0;0;67049;793646;0;0;1533304;4617435;20810631;6832783;4967932;2009;0;0;20810631;0;0;0;150;27;123;0;0;0;0;0;0;0;0;7;1;6;28;129;157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;495272;2670392;645064;0;0;593526;146132;0;0;350497;4967932;6935787;0;13345;0;217000;0;3179;0;0;2047;0;0;0;452057;2849724;2018313;1450;2128;5524;127000;0;5000;329162;140410;0;0;66513;886782;79263;134340;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
18033;H1;52;2019;23840410;3;38705;4056983;3714398;662087;94;94;0;5261465;5300170;0;0;38705;1338509;0;0;3308000;8608170;23840410;20126012;9270257;2009;0;0;23840410;0;0;0;90;58;32;0;0;0;0;0;0;2;1;4;1;3;61;36;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1959608;3889739;750627;0;0;1100725;293710;635168;59542;662087;9330369;0;0;321105;0;226831;0;82080;0;0;2140685;0;0;0;28208;0;408785;24102;14735;0;83752;64267;63730;2034;393274;0;44794;53329;2250;2586;40894;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
18034;H1;52;2019;1501708;0;14079;98508;86147;107745;89;84;0;865037;879116;0;0;14079;194942;0;0;357789;1236905;1501708;1415561;1344650;2012;0;0;1501708;5;0;5;82;0;82;0;0;0;0;0;0;0;0;2;1;1;1;88;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;865037;194942;0;0;127838;35009;0;0;107745;1344650;0;0;15850;0;6782;0;4869;0;0;1326;0;0;0;0;605;2280;0;3579;0;209;0;0;17260;0;0;8347;467;491;36443;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
18035;H1;52;2019;5930334;0;29546;3608159;3518630;220746;68;68;0;1114923;1144469;0;0;29546;284167;0;0;523876;1668345;5930334;2411704;1889091;1983;0;315089;5615245;0;0;0;63;20;43;0;0;0;0;0;0;0;0;5;3;2;23;45;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1114923;284167;0;0;178850;48379;12480;0;220746;1889091;2806727;0;211347;0;68203;0;448;15822;0;92083;0;0;0;8934;81316;23668;90176;26349;2894;31903;1070;220;32722;60014;0;3427;8038;2852;17761;22185;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
